situation_id,situation,rsq001,rsq002,rsq003,rsq004,rsq005,rsq006,rsq007,rsq008,rsq009,rsq010,rsq011,rsq012,rsq013,rsq014,rsq015,rsq016,rsq017,rsq018,rsq019,rsq020,rsq021,rsq022,rsq023,rsq024,rsq025,rsq026,rsq027,rsq028,rsq029,rsq030,rsq031,rsq032,rsq033,rsq034,rsq035,rsq036,rsq037,rsq038,rsq039,rsq040,rsq041,rsq042,rsq043,rsq044,rsq045,rsq046,rsq047,rsq048,rsq049,rsq050,rsq051,rsq052,rsq053,rsq054,rsq055,rsq056,rsq057,rsq058,rsq059,rsq060,rsq061,rsq062,rsq063,rsq064,rsq065,rsq066,rsq067,rsq068,rsq069,rsq070,rsq071,rsq072,rsq073,rsq074,rsq075,rsq076,rsq077,rsq078,rsq079,rsq080,rsq081,rsq082,rsq083,rsq084,rsq085,rsq086,rsq087,rsq088,rsq089
sit_18,I'm lying in my bed alone and have Sex and the City viewed on television.,7,3,4.0,3.0,3.0,4.0,7.0,3.0,4.0,2.0,6.0,5.0,2.0,2.0,4.0,6.0,5.0,5.0,9.0,1.0,4.0,5.0,5.0,4.0,4.0,7.0,2.0,3.0,5.0,7.0,6.0,4.0,5.0,5.0,4.0,6.0,7.0,4.0,5.0,4.0,3.0,6.0,6.0,6.0,3.0,7.0,5.0,6.0,9.0,7.0,3.0,5.0,3.0,5.0,8.0,3.0,7.0,8.0,5.0,5.0,4.0,6.0,4.0,3.0,9.0,8.0,7.0,6.0,7.0,7.0,2.0,1.0,6.0,4.0,8.0,8.0,5.0,6.0,4.0,6.0,5.0,6.0,8.0,5.0,5.0,5.0,1.0,2.0,6.0
sit_19,"I was alone in the laboratory and have analyzed data FYR my master's thesis. In between, I've just phoned my father.",4,5,9.0,4.0,6.0,7.0,6.0,6.0,8.0,9.0,6.0,4.0,7.0,4.0,4.0,5.0,3.0,4.0,5.0,4.0,4.0,5.0,3.0,6.0,7.0,9.0,5.0,5.0,6.0,7.0,3.0,5.0,6.0,7.0,6.0,3.0,4.0,3.0,2.0,5.0,5.0,1.0,2.0,4.0,5.0,4.0,5.0,8.0,7.0,5.0,6.0,4.0,8.0,7.0,3.0,7.0,6.0,6.0,2.0,5.0,8.0,5.0,5.0,3.0,3.0,5.0,8.0,7.0,3.0,1.0,5.0,1.0,6.0,2.0,7.0,8.0,4.0,4.0,3.0,2.0,7.0,4.0,6.0,6.0,5.0,3.0,6.0,5.0,2.0
sit_20,I was yesterday at 19 clock in the train of Mynchen to innsbruck. I just sa§ there and have looked out of the window. au§er me was only one other person in my compartment. 0913853+ psychology,5,7,8.0,4.0,4.0,6.0,7.0,7.0,4.0,7.0,6.0,6.0,5.0,6.0,4.0,4.0,6.0,4.0,5.0,7.0,5.0,5.0,6.0,5.0,5.0,4.0,6.0,6.0,5.0,7.0,5.0,6.0,4.0,4.0,6.0,6.0,7.0,5.0,5.0,4.0,6.0,5.0,4.0,3.0,4.0,3.0,3.0,3.0,3.0,5.0,8.0,6.0,2.0,3.0,1.0,9.0,2.0,6.0,3.0,8.0,4.0,8.0,9.0,8.0,3.0,2.0,5.0,1.0,5.0,3.0,5.0,2.0,3.0,2.0,4.0,6.0,7.0,7.0,2.0,1.0,9.0,3.0,5.0,5.0,7.0,7.0,8.0,5.0,4.0
sit_21,I met with two studienkommolitonen at my home. we have made FYR a seminar work on the computer calculations.,5,5,8.0,6.0,5.0,5.0,7.0,8.0,5.0,4.0,6.0,4.0,6.0,3.0,3.0,6.0,4.0,6.0,5.0,4.0,5.0,6.0,3.0,4.0,6.0,5.0,4.0,7.0,5.0,6.0,3.0,5.0,6.0,6.0,5.0,5.0,3.0,3.0,3.0,5.0,7.0,2.0,3.0,3.0,4.0,6.0,5.0,8.0,4.0,4.0,7.0,7.0,7.0,7.0,2.0,8.0,6.0,6.0,4.0,2.0,5.0,3.0,7.0,7.0,4.0,4.0,9.0,8.0,6.0,2.0,3.0,2.0,1.0,1.0,4.0,7.0,7.0,5.0,5.0,1.0,8.0,4.0,6.0,9.0,2.0,5.0,9.0,5.0,4.0
sit_22,Met friends,6,6,5.0,5.0,4.0,5.0,5.0,6.0,5.0,4.0,5.0,5.0,6.0,5.0,1.0,2.0,4.0,5.0,2.0,5.0,2.0,6.0,3.0,5.0,5.0,5.0,5.0,7.0,5.0,4.0,6.0,6.0,4.0,3.0,6.0,3.0,4.0,4.0,3.0,6.0,5.0,1.0,4.0,3.0,5.0,6.0,4.0,2.0,6.0,3.0,8.0,3.0,7.0,3.0,6.0,7.0,9.0,4.0,8.0,2.0,4.0,3.0,8.0,7.0,7.0,2.0,5.0,4.0,7.0,7.0,8.0,1.0,9.0,7.0,3.0,6.0,8.0,4.0,4.0,6.0,4.0,3.0,7.0,9.0,7.0,6.0,5.0,7.0,8.0
sit_23,"I was tutoring and got a man I love, shown zŠrtliche small gestures, which were wunderschšn. I was at the Institute and beside me my sa§ focused on student.",5,6,4.0,5.0,5.0,6.0,6.0,5.0,4.0,4.0,6.0,4.0,4.0,5.0,5.0,5.0,5.0,6.0,6.0,7.0,6.0,6.0,5.0,6.0,5.0,4.0,5.0,6.0,4.0,4.0,6.0,6.0,4.0,4.0,6.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,2.0,5.0,5.0,7.0,2.0,3.0,7.0,3.0,7.0,3.0,5.0,5.0,7.0,7.0,5.0,7.0,7.0,4.0,7.0,2.0,5.0,3.0,7.0,5.0,8.0,2.0,2.0,8.0,4.0,1.0,8.0,8.0,7.0,9.0,8.0,3.0,4.0,8.0,2.0,1.0,9.0,4.0,5.0,1.0,6.0,6.0,9.0
sit_24,"Ate, casually looked away and started up my laptop.",9,8,5.0,5.0,6.0,6.0,5.0,4.0,4.0,4.0,8.0,7.0,5.0,6.0,5.0,5.0,4.0,6.0,8.0,8.0,5.0,4.0,4.0,7.0,5.0,7.0,4.0,4.0,3.0,5.0,5.0,4.0,3.0,7.0,6.0,7.0,3.0,3.0,5.0,4.0,4.0,5.0,7.0,4.0,5.0,7.0,1.0,3.0,8.0,6.0,3.0,6.0,6.0,4.0,9.0,2.0,5.0,6.0,9.0,6.0,7.0,5.0,1.0,6.0,8.0,5.0,7.0,6.0,5.0,6.0,6.0,2.0,2.0,2.0,7.0,6.0,3.0,5.0,4.0,3.0,2.0,3.0,7.0,4.0,1.0,3.0,5.0,2.0,3.0
sit_25,"I worked at H & M. By 19 clock I was talking with my department head, he is mid 20's and also a student. He has erzŠhlt me that he fŠhrt today to his grandfather in the Czech Republic. I wŸrde also like to travel again.",9,5,4.0,6.0,4.0,5.0,6.0,6.0,4.0,4.0,5.0,6.0,5.0,5.0,3.0,3.0,2.0,6.0,6.0,5.0,3.0,4.0,2.0,3.0,5.0,5.0,6.0,6.0,4.0,3.0,6.0,6.0,6.0,3.0,7.0,4.0,3.0,3.0,4.0,4.0,7.0,1.0,2.0,2.0,4.0,6.0,5.0,1.0,7.0,4.0,9.0,5.0,5.0,5.0,4.0,7.0,6.0,7.0,6.0,3.0,6.0,3.0,7.0,5.0,5.0,3.0,5.0,5.0,4.0,7.0,4.0,1.0,9.0,8.0,5.0,5.0,8.0,7.0,5.0,7.0,8.0,2.0,8.0,7.0,8.0,2.0,8.0,4.0,7.0
sit_26,"I have talked with me Yber skype with two friends from Germany, how uncomfortable it is when one is not taken as seriously dialect spokeswoman in Germany.",3,1,1.0,4.0,4.0,4.0,4.0,7.0,3.0,4.0,4.0,6.0,7.0,2.0,1.0,4.0,2.0,3.0,4.0,3.0,5.0,6.0,5.0,4.0,6.0,5.0,5.0,6.0,5.0,3.0,5.0,4.0,6.0,6.0,6.0,5.0,6.0,3.0,4.0,2.0,8.0,5.0,7.0,9.0,4.0,6.0,3.0,7.0,7.0,6.0,9.0,6.0,8.0,2.0,2.0,7.0,6.0,3.0,5.0,5.0,8.0,5.0,8.0,7.0,4.0,6.0,7.0,8.0,7.0,5.0,5.0,5.0,5.0,5.0,7.0,7.0,6.0,9.0,4.0,5.0,3.0,6.0,4.0,8.0,5.0,3.0,2.0,3.0,5.0
sit_27,I have eaten in the Kitchen Miscellaneous with the roommate dinner.,3,4,3.0,3.0,2.0,2.0,7.0,7.0,6.0,2.0,4.0,4.0,7.0,4.0,5.0,2.0,5.0,6.0,6.0,4.0,1.0,6.0,5.0,5.0,6.0,5.0,5.0,6.0,6.0,5.0,6.0,6.0,2.0,3.0,6.0,5.0,3.0,3.0,5.0,5.0,6.0,5.0,5.0,4.0,3.0,7.0,4.0,1.0,7.0,3.0,4.0,3.0,5.0,3.0,9.0,7.0,7.0,4.0,9.0,6.0,6.0,4.0,7.0,8.0,8.0,4.0,4.0,5.0,4.0,4.0,6.0,5.0,7.0,1.0,8.0,7.0,8.0,4.0,2.0,5.0,8.0,6.0,5.0,8.0,9.0,3.0,5.0,7.0,5.0
sit_28,I was in the living room of my apartment and have recheriert the Internet which berŸhmten people are gay. I was there alleine.0918142 + Psychology,5,6,4.0,3.0,4.0,4.0,5.0,3.0,3.0,3.0,4.0,6.0,6.0,5.0,3.0,5.0,3.0,5.0,6.0,4.0,4.0,4.0,5.0,6.0,3.0,6.0,3.0,4.0,2.0,6.0,5.0,5.0,7.0,4.0,6.0,2.0,5.0,4.0,5.0,7.0,5.0,4.0,7.0,7.0,2.0,7.0,5.0,6.0,6.0,7.0,6.0,2.0,7.0,5.0,5.0,5.0,5.0,4.0,2.0,6.0,8.0,1.0,2.0,8.0,7.0,6.0,8.0,5.0,7.0,8.0,5.0,4.0,3.0,6.0,7.0,3.0,3.0,8.0,9.0,1.0,1.0,7.0,9.0,4.0,8.0,6.0,5.0,4.0,9.0
sit_29,"At 19:00 clock yesterday I worked in the Byro. The company gehšrt my brother and his GeschŠftspartner. These two persons were present. Likewise, one apprentice and 2 customers. The GeschŠftsgebŠude is located in Tyrol.",5,5,6.0,4.0,5.0,6.0,6.0,7.0,7.0,7.0,6.0,2.0,7.0,3.0,2.0,5.0,5.0,4.0,2.0,5.0,3.0,5.0,2.0,7.0,7.0,6.0,5.0,7.0,5.0,6.0,5.0,8.0,4.0,7.0,5.0,4.0,4.0,6.0,4.0,6.0,5.0,2.0,1.0,1.0,5.0,4.0,6.0,4.0,5.0,4.0,5.0,8.0,5.0,7.0,4.0,9.0,4.0,4.0,3.0,3.0,8.0,3.0,6.0,5.0,3.0,5.0,9.0,6.0,4.0,3.0,4.0,1.0,8.0,2.0,5.0,6.0,8.0,6.0,3.0,7.0,6.0,3.0,3.0,8.0,7.0,4.0,9.0,6.0,3.0
sit_30,"I was working with my colleagues in the cinema in Omaha / USA (where I am located just on a business trip) and have seen the movie ""Battleship"".",8,5,5.0,5.0,7.0,5.0,2.0,3.0,5.0,5.0,7.0,5.0,5.0,5.0,5.0,5.0,5.0,7.0,8.0,7.0,5.0,7.0,2.0,5.0,3.0,6.0,1.0,4.0,6.0,4.0,6.0,4.0,4.0,7.0,6.0,5.0,3.0,4.0,4.0,5.0,2.0,4.0,4.0,6.0,3.0,7.0,3.0,2.0,8.0,3.0,6.0,4.0,6.0,5.0,4.0,6.0,8.0,2.0,6.0,6.0,5.0,3.0,6.0,9.0,9.0,6.0,4.0,4.0,6.0,8.0,4.0,1.0,8.0,7.0,7.0,9.0,3.0,4.0,3.0,6.0,3.0,3.0,7.0,1.0,4.0,7.0,5.0,2.0,6.0
sit_31,Yesterday by 19 clock I went with my friend for a walk along the KŠrntnerstra§e,9,4,4.0,6.0,6.0,5.0,8.0,9.0,5.0,5.0,4.0,5.0,7.0,4.0,4.0,2.0,1.0,7.0,6.0,4.0,5.0,6.0,2.0,6.0,3.0,4.0,6.0,5.0,5.0,3.0,6.0,6.0,4.0,6.0,6.0,5.0,4.0,4.0,3.0,5.0,7.0,3.0,3.0,3.0,2.0,5.0,3.0,2.0,7.0,4.0,6.0,5.0,6.0,5.0,5.0,7.0,7.0,5.0,7.0,1.0,5.0,3.0,7.0,3.0,8.0,3.0,6.0,5.0,2.0,4.0,4.0,1.0,8.0,7.0,4.0,7.0,5.0,9.0,2.0,6.0,7.0,3.0,5.0,8.0,8.0,4.0,5.0,8.0,6.0
sit_32,By 19 clock I go§ the balcony flowers home alone with me.,5,5,6.0,5.0,4.0,6.0,6.0,4.0,5.0,6.0,6.0,5.0,5.0,1.0,4.0,5.0,4.0,6.0,6.0,5.0,4.0,4.0,5.0,6.0,7.0,6.0,5.0,5.0,3.0,6.0,3.0,5.0,7.0,7.0,7.0,6.0,6.0,3.0,5.0,5.0,6.0,6.0,4.0,4.0,7.0,7.0,3.0,4.0,8.0,4.0,3.0,7.0,5.0,7.0,2.0,5.0,5.0,7.0,8.0,4.0,6.0,8.0,3.0,2.0,8.0,3.0,7.0,9.0,4.0,1.0,8.0,1.0,2.0,2.0,8.0,9.0,4.0,2.0,4.0,3.0,3.0,3.0,9.0,2.0,5.0,3.0,7.0,5.0,4.0
